,gage_name,net_infiltration_annual_m3pd,rainfall_annual_m3pd,runoff_annual_m3pd
0,9120-Afono,10438.43965190772,18710.85089140809,6167.454011683497
1,Fagaitua,3780.8282858667617,6454.571492200714,1090.2167160448219
2,9060,1576.0317290010762,3146.32931188201,636.0438316347622
3,9639,1029.1453681099265,2255.123335245751,505.432162685589
4,9600,3251.666250611507,5397.604389935998,1253.611786661482
5,Vaipito,19415.460787098127,31636.848246841113,8351.297321125521
6,Fagaalu,14720.462122406007,25621.96819708484,7299.236277580029
7,9175-Fagasa,4359.662939586887,8030.679753641719,2680.6742449820313
8,9480,5200.402956586794,9443.218966550554,2793.8260273978863
9,9442-Nuuuli,16387.86427785567,27755.728270103344,7863.958295846582
10,9205,23655.46536194169,38807.421330735764,9321.660816074695
11,9250-Maloata,13904.140963780783,28770.969815788158,11100.21750133346
12,9335-Leone,22536.72412875943,35164.1358122859,7427.788094301303
13,9310,3409.076654134752,7099.863701378151,2209.1806632671314
14,9315,6028.7561115020435,10986.52293852496,3296.1127597980667
