,actual_et,direct_net_infiltation,direct_soil_moisture,interception,net_infiltration,rainfall,runoff
JAN,228118.3051960614,54471.62732092221,1388.3942986791953,161911.7920754014,1024241.4627123496,1728185.1492940497,336479.36708492925
FEB,214239.09460638085,54471.62732092221,1388.3942986791953,163638.34110764018,1116153.0649632611,1869138.753738744,433950.5775816947
MAR,200749.7838060315,54471.62732092221,1388.3942986791953,148860.92251058153,990797.8036247094,1626080.8125495766,339671.14414469746
APR,184272.6928849678,54471.627320922205,1388.3942986791953,150977.880103605,976300.8343693719,1610196.0399584488,354164.914180265
MAY,186558.99436681747,54471.62732092221,1388.3942986791953,132135.29170960054,910261.4002370252,1463216.795282581,304675.7477825047
JUN,174560.00338915363,54471.627320922205,1388.3942986791953,120001.30863796403,805815.4787999248,1318323.850594175,265988.4709346685
JUL,168001.33265251905,54471.62732092221,1388.3942986791953,102160.7835350298,652731.7940194535,1042200.2662500655,175700.70685544575
AUG,194217.20361261503,54471.62732092221,1388.3942986791953,108744.17479257785,623876.2624258115,1015355.4003186604,149510.77787282693
SEP,211717.26970597863,54471.627320922205,1388.3942986791953,117938.05543647832,682465.3096977063,1164174.5936608096,193712.25375235968
OCT,219604.52982391533,54471.62732092221,1388.3942986791953,148484.82727870837,911749.8841144581,1632265.7184112133,411190.3256838976
NOV,232488.82871091197,54471.627320922205,1388.3942986791953,136613.6264573822,964842.7572841289,1655374.4623555725,395776.5333081745
DEC,223124.7086136622,54471.62732092221,1388.3942986791953,149881.21467358468,1031159.8729122427,1787196.8612319233,433050.5921943328
